Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
R39,0603-R,62.611mm,-26.5367mm,62.611mm,-26.543mm,62.611mm,-27.3177mm,B,90,Res
R40,0603-R,107.823mm,-25.6476mm,107.823mm,-25.654mm,107.823mm,-26.4287mm,B,90,Res
R41,0603-R,107.823mm,-29.8387mm,107.823mm,-29.845mm,107.823mm,-30.6197mm,B,90,Res
R42,0603-R,109.093mm,-25.6476mm,109.093mm,-25.654mm,109.093mm,-26.4287mm,B,90,Res
R43,0603-R,109.093mm,-29.8387mm,109.093mm,-29.845mm,109.093mm,-30.6197mm,B,90,Res
RT1,PTC-16P,30.607mm,-60.198mm,30.607mm,-60.198mm,28.807mm,-62.698mm,T,90,SY16P
RT2,0603-R,65.405mm,-26.5494mm,65.405mm,-26.543mm,65.405mm,-25.7683mm,B,270,NTC
RV1,VDR-20D621K,10.795mm,-58.674mm,10.795mm,-58.674mm,15.795mm,-60.074mm,T,180,20D621K
RV2,VDR-20D621K,24.892mm,-58.928mm,24.892mm,-58.928mm,23.492mm,-63.928mm,T,90,20D621K
RV3,VDR-20D621K,10.795mm,-51.816mm,10.795mm,-51.816mm,5.795mm,-50.416mm,T,360,20D621K
T1,EE13-5+5-Q9,88.011mm,-55.626mm,88.011mm,-55.626mm,83.711mm,-50.626mm,T,0,Transformer
U1,LQFP48_N,96.393mm,-31.75mm,96.393mm,-31.75mm,92.093mm,-34.5mm,B,360,STM32F103C8T6
U2,SO-8_N,96.266mm,-16.106mm,96.266mm,-16.106mm,94.361mm,-13.606mm,B,270,TL072IDR
U3,SO-16_N,74.803mm,-58.293mm,74.803mm,-58.293mm,79.248mm,-60.693mm,B,90,VIPER17HDTR
U4,DIP-4-SMD-OPTO,89.662mm,-66.929mm,89.662mm,-66.929mm,94.262mm,-65.659mm,B,270,LTV-816S-TA1-C
U5,SOT-23_N,97.79mm,-64.643mm,97.79mm,-64.643mm,98.74mm,-65.768mm,B,90,AZ431AN-ATRE1
U6,SOT223_N,113.538mm,-47.244mm,113.538mm,-47.244mm,115.838mm,-50.144mm,B,90,SPX1117M3-3.3
U7,SO-8_N,58.039mm,-29.21mm,58.039mm,-29.21mm,55.539mm,-31.115mm,B,360,MCP602T-I/SN
X1,5032,87.376mm,-34.671mm,87.376mm,-34.671mm,87.376mm,-32.671mm,B,270,Crystal
D20,DO-214AC,85.598mm,-20.932mm,85.598mm,-20.932mm,85.598mm,-18.882mm,B,270,SMAJ12CA
R44,1206-R,101.9809mm,-68.5799mm,101.981mm,-68.58mm,100.5809mm,-68.5799mm,B,360,Res
LOGO1,LOGO-GREENBOX,-45.593mm,-120.038mm,15.748mm,-3.937mm,-45.593mm,-120.038mm,T,360,LOGO-GREENBOX
